Jurisdiction,Requirement,Category,Regulator,Frequency,Timing,Applicability,Notes
Australia,ASIC annual review & fee,Corporate,ASIC,Annual,Anniversary of registration,All companies,Standard Pty Ltd fee $329 for 2025/26; late fees escalate after 1 month
Australia,Solvency resolution,Corporate,ASIC,Annual,Within 2 months of review date,All companies (unless financial reports recently lodged),Directors must resolve company can pay debts when due
Australia,Lodge audited financial reports,Financial Reporting,ASIC,Annual,Within 4 months of FY end,"Large proprietary (2 of 3: revenue ≥$50M, assets ≥$25M, 100+ employees), public companies, foreign-controlled small proprietary",Prepared under AASB/IFRS with directors' report and auditor opinion
Australia,Climate-related financial disclosures,Financial Reporting,ASIC,Annual,With financial report,Phased by size — Group 1 (largest) already in scope; Groups 2 & 3 phasing in,New mandatory sustainability reporting under Corporations Act
Australia,Maintain financial records,Record Keeping,ATO/ASIC,Ongoing,Continuous,All companies,Minimum 7 years retention
Australia,Company income tax return,Tax,ATO,Annual,Generally 28 Feb (varies by lodgement category),All companies,Corporate rate 25% (base rate entity) or 30%
Australia,Business Activity Statement (BAS),Tax,ATO,Monthly or Quarterly,28 days after period end (21 days monthly),GST-registered entities (turnover ≥ $75K),Includes GST PAYG withholding PAYG instalments
Australia,GST registration,Tax,ATO,One-off,On reaching threshold,Turnover ≥ $75K (or $150K for non-profits),Required before charging GST
Australia,PAYG withholding,Tax,ATO,Per pay cycle,Reported via BAS/STP,Employers and businesses paying contractors without ABN,Withhold tax from payments and remit
Australia,PAYG instalments,Tax,ATO,Quarterly,28 days after quarter end,Companies above instalment income threshold,Pre-payment toward annual tax liability
Australia,Fringe Benefits Tax (FBT) return,Tax,ATO,Annual,21 May (25 June via registered tax agent),Employers providing non-cash benefits,FBT year runs 1 April – 31 March
Australia,Single Touch Payroll (STP),Tax,ATO,Each pay run,Real-time,All employers,Reports wages PAYG and super to ATO
Australia,TFN registration,Tax,ATO,One-off,At company formation,All companies,Obtained alongside ABN
Australia,ABN registration,Tax,ABR,One-off,At company formation,All companies trading,Required for invoicing and GST
Australia,Superannuation Guarantee,Payroll,ATO,Quarterly (moving to payday from 1 July 2026),28 days after quarter end currently,All employers,Rate is 12% of ordinary time earnings
Australia,Payroll tax,State Tax,State Revenue Office,Monthly + annual reconciliation,7th of following month; annual recon July,Employers above state threshold,"Thresholds vary: NSW ~$1.2M, VIC ~$900K, QLD ~$1.3M"
Australia,Workers' compensation premium,State Tax,State authority (icare/WorkSafe etc.),Annual,Per state policy date,All employers,Premium based on wages and industry risk rating
Australia,Land tax,State Tax,State Revenue Office,Annual,Per state assessment,Companies holding taxable land,Thresholds and rates vary by state
Australia,AFS licence compliance & financial reporting,Financial Services,ASIC,Annual + ongoing,Per licence conditions,Holders of Australian Financial Services Licence,Includes audited FS70/FS71 lodgement breach reporting
Australia,Australian Credit Licence compliance,Financial Services,ASIC,Annual + ongoing,Per licence conditions,Consumer credit providers,Annual compliance certificate required
Australia,AML/CTF program & reporting,Financial Services,AUSTRAC,Ongoing,Threshold transactions reported within 10 days,"Reporting entities — financial services, gambling, bullion, crypto; Tranche 2 adds lawyers accountants real estate from 2026",Includes TTRs SMRs IFTI and annual compliance report
Australia,Modern Slavery statement,Governance,Attorney-General's Dept,Annual,Within 6 months of FY end,Entities with consolidated revenue ≥ $100M,Lodged on the Modern Slavery Register
Australia,ASIC change notifications (financial),Corporate,ASIC,As needed,14–28 days depending on change type,All companies,Share structure shareholder changes director changes — typically 28 days
Australia,Annual General Meeting (public companies),Corporate,ASIC,Annual,Within 5 months of FY end,Public companies only,Pty Ltd companies generally exempt
Australia,Beneficial ownership register,Corporate,Internal (Treasury reforms progressing),Ongoing,On changes,All companies,Maintain internally; public register reforms in progress
New Zealand,Annual return filing,Corporate,Companies Office,Annual,Month allocated on registration,All NZ-registered companies,Confirms directors shareholders registered office; filed online via Companies Office
New Zealand,Resident director,Corporate,Companies Office,Ongoing,Continuous,All NZ companies,At least one director must live in NZ or live in Australia and be a director of an Australian company
New Zealand,Notify director/shareholder changes,Corporate,Companies Office,As needed,Within 20 working days,All companies,Includes appointments resignations residential address changes
New Zealand,Maintain financial records,Record Keeping,IRD/Companies Office,Ongoing,Continuous,All companies,7 years retention; English or translated
New Zealand,IR4 company income tax return,Tax,IRD,Annual,7 July (or 31 March / 7 April with tax agent extension),All companies,Corporate tax rate 28%
New Zealand,Provisional tax,Tax,IRD,Three instalments (standard),28 August / 15 January / 7 May for 31 March balance date,Companies with RIT > $5000,Standard uplift method or estimation
New Zealand,GST registration,Tax,IRD,One-off,On reaching threshold,Turnover ≥ NZD 60000 in any 12-month period,Voluntary registration available below threshold
New Zealand,GST returns,Tax,IRD,Monthly / 2-monthly / 6-monthly,28th of month following period (May/Jan exceptions),GST-registered entities,Frequency depends on turnover; standard rate 15%
New Zealand,PAYE / payday filing,Payroll Tax,IRD,Each pay run,Within 2 working days of payday (electronic filers),All employers,Replaces previous Employer Monthly Schedule
New Zealand,KiwiSaver employer contributions,Payroll Tax,IRD,Each pay run,With PAYE,Employers,Minimum 3% employer contribution on top of employee contribution
New Zealand,ACC employer levies,Payroll Tax,ACC,Annual invoice + monthly via PAYE (CoverPlus),Invoiced annually based on payroll,All employers,Work levy + Earner levy collected via PAYE
New Zealand,Fringe Benefit Tax (FBT) return,Tax,IRD,Quarterly or annual,Quarterly: 20th of month after quarter end; Annual: 31 May,Employers providing non-cash benefits,Rate up to 63.93% on attributed benefits
New Zealand,Resident Withholding Tax (RWT),Tax,IRD,With monthly/quarterly returns,Per IRD schedule,Payers of interest/dividends to NZ residents,28% default for company recipients
